Iter    Interp          Mover           Total
1       0.101948        0.023237        0.125185
2       0.102222        0.023181        0.125403
3       0.100457        0.022791        0.123249
4       0.101348        0.023368        0.124716
5       0.100943        0.023302        0.124245
6       0.104298        0.023114        0.127412
7       0.100745        0.022913        0.123658
8       0.100005        0.023097        0.123102
9       0.102186        0.023025        0.125211
10      0.101641        0.023010        0.124651
