Iter    Interp          Mover           Total
1       0.107826        0.313269        0.421095
2       0.108228        0.316031        0.424259
3       0.108940        0.311126        0.420066
4       0.107119        0.313832        0.420951
5       0.106670        0.311929        0.418599
6       0.107369        0.311843        0.419211
7       0.107248        0.311113        0.418361
8       0.107166        0.310845        0.418012
9       0.106198        0.310843        0.417041
10      0.105575        0.311476        0.417050
