
libgomp: Invalid value for environment variable OMP_PROC_BIND
# Assignment 05 – Experiment 02  (Parallel Scalability)
# NUM_Points=14000000  Maxiter=10
# NX,NY,Approach,Threads,Total_Interp,Total_Mover,Total_Runtime,Speedup

# ── CONFIG 1  NX=250  NY=100 ─────────────────────────
250,100,No_Del(A4),2,2.910491,1.088397,3.998888,1.0000
250,100,No_Del(A4),4,2.883072,0.552631,3.435703,1.9695
250,100,No_Del(A4),8,2.863450,0.301462,3.164912,3.6104
250,100,No_Del(A4),16,2.868889,0.277330,3.146219,3.9246

250,100,Deferred,2,2.867433,1.119919,3.987352,1.0000
250,100,Deferred,4,2.870394,0.612225,3.482618,1.8293
250,100,Deferred,8,2.868801,0.404000,3.272800,2.7721
250,100,Deferred,16,2.850782,0.434824,3.285606,2.5756

250,100,Immediate,2,2.831605,0.951475,3.783080,1.0000
250,100,Immediate,4,2.833355,0.522118,3.355474,1.8223
250,100,Immediate,8,2.835007,0.288833,3.123840,3.2942
250,100,Immediate,16,2.835678,0.257607,3.093284,3.6935

# ── CONFIG 2  NX=500  NY=200 ─────────────────────────
500,200,No_Del(A4),2,3.044761,1.000634,4.045395,1.0000
500,200,No_Del(A4),4,3.068959,0.538933,3.607893,1.8567
500,200,No_Del(A4),8,3.067165,0.288794,3.355960,3.4649
500,200,No_Del(A4),16,3.070161,0.265173,3.335334,3.7735

500,200,Deferred,2,3.072699,1.112898,4.185597,1.0000
500,200,Deferred,4,3.072527,0.609255,3.681782,1.8267
500,200,Deferred,8,3.073849,0.401619,3.475468,2.7710
500,200,Deferred,16,3.123044,0.443249,3.566293,2.5108

500,200,Immediate,2,3.143357,1.007687,4.151044,1.0000
500,200,Immediate,4,3.143148,0.522181,3.665329,1.9298
500,200,Immediate,8,3.162043,0.309211,3.471254,3.2589
500,200,Immediate,16,3.151020,0.283080,3.434100,3.5597

# ── CONFIG 3  NX=1000  NY=400 ─────────────────────────
1000,400,No_Del(A4),2,3.199122,1.024634,4.223756,1.0000
1000,400,No_Del(A4),4,3.199177,0.530799,3.729976,1.9304
1000,400,No_Del(A4),8,3.178229,0.284516,3.462745,3.6013
1000,400,No_Del(A4),16,3.179084,0.261554,3.440639,3.9175

1000,400,Deferred,2,3.174614,1.090192,4.264806,1.0000
1000,400,Deferred,4,3.175398,0.609574,3.784972,1.7884
1000,400,Deferred,8,3.208658,0.391249,3.599907,2.7864
1000,400,Deferred,16,3.182069,0.388318,3.570387,2.8075

1000,400,Immediate,2,3.172850,0.946508,4.119357,1.0000
1000,400,Immediate,4,3.172129,0.502453,3.674582,1.8838
1000,400,Immediate,8,3.172909,0.269474,3.442383,3.5124
1000,400,Immediate,16,3.174740,0.257314,3.432055,3.6784

# Done.
