# Assignment 05 – Experiment 02  (Parallel Scalability)
# NUM_Points=14000000  Maxiter=10
# NX,NY,Approach,Threads,Total_Interp,Total_Mover,Total_Runtime,Speedup

# ── CONFIG 1  NX=250  NY=100 ─────────────────────────
250,100,No_Del(A4),2,0.661925,0.413717,1.075642,1.0000
250,100,No_Del(A4),4,0.672371,0.261011,0.933381,1.5851
250,100,No_Del(A4),8,0.675951,0.269862,0.945812,1.5331
250,100,No_Del(A4),16,0.662322,0.271516,0.933838,1.5237

250,100,Deferred,2,0.663388,0.482588,1.145976,1.0000
250,100,Deferred,4,0.676848,0.362173,1.039021,1.3325
250,100,Deferred,8,0.668038,0.381782,1.049820,1.2640
250,100,Deferred,16,0.653147,0.386113,1.039260,1.2499

250,100,Immediate,2,0.666601,0.352630,1.019231,1.0000
250,100,Immediate,4,0.666250,0.258050,0.924300,1.3665
250,100,Immediate,8,0.663872,0.261527,0.925400,1.3483
250,100,Immediate,16,0.658212,0.267670,0.925882,1.3174

# ── CONFIG 2  NX=500  NY=200 ─────────────────────────
500,200,No_Del(A4),2,0.665616,0.377623,1.043239,1.0000
500,200,No_Del(A4),4,0.667377,0.261276,0.928653,1.4453
500,200,No_Del(A4),8,0.663823,0.257849,0.921672,1.4645
500,200,No_Del(A4),16,0.660707,0.272351,0.933058,1.3865

500,200,Deferred,2,0.673772,0.462539,1.136311,1.0000
500,200,Deferred,4,0.676389,0.364756,1.041146,1.2681
500,200,Deferred,8,0.665322,0.375103,1.040425,1.2331
500,200,Deferred,16,0.668382,0.380013,1.048395,1.2172

500,200,Immediate,2,0.659805,0.337326,0.997130,1.0000
500,200,Immediate,4,0.674395,0.259493,0.933887,1.2999
500,200,Immediate,8,0.668816,0.259883,0.928699,1.2980
500,200,Immediate,16,0.663510,0.270862,0.934371,1.2454

# ── CONFIG 3  NX=1000  NY=400 ─────────────────────────
1000,400,No_Del(A4),2,1.075321,0.372034,1.447355,1.0000
1000,400,No_Del(A4),4,1.090738,0.268436,1.359174,1.3859
1000,400,No_Del(A4),8,1.073522,0.262807,1.336329,1.4156
1000,400,No_Del(A4),16,1.074123,0.270717,1.344839,1.3743

1000,400,Deferred,2,1.092114,0.467693,1.559806,1.0000
1000,400,Deferred,4,1.093904,0.362069,1.455973,1.2917
1000,400,Deferred,8,1.075842,0.373633,1.449475,1.2517
1000,400,Deferred,16,1.066045,0.379472,1.445517,1.2325

1000,400,Immediate,2,1.105616,0.356719,1.462335,1.0000
1000,400,Immediate,4,1.099996,0.254008,1.354004,1.4044
1000,400,Immediate,8,1.106829,0.265681,1.372510,1.3427
1000,400,Immediate,16,1.100796,0.269359,1.370155,1.3243

# Done.
